191.15,195.45,199.85,204.35,208.95
133.35,136.35,139.42,142.56,145.77
109.01,111.46,113.97,116.53,119.15
157.87,161.42,165.05,168.76,172.56
136.69,139.77,142.91,146.13,149.42
95.31,97.45,99.64,101.88,104.17
81.53,83.36,85.24,87.16,89.12
191.15,195.45,199.85,204.35,208.95
133.35,136.35,139.42,142.56,145.77
109.01,111.46,113.97,116.53,119.15
81.53,83.36,85.24,87.16,89.12
133.35,136.35,139.42,142.56,145.77
95.78,97.94,100.14,102.39,104.69
157.87,161.42,165.05,168.76,172.56
136.69,139.77,142.91,146.13,149.42
95.78,97.94,100.14,102.39,104.69
81.00,82.82,84.68,86.59,88.54
203.17,207.74,212.41,217.19,222.08
157.87,161.42,165.05,168.76,172.56
136.69,139.77,142.91,146.13,149.42
95.78,97.94,100.14,102.39,104.69
81.53,83.36,85.24,87.16,89.12
61.11,62.48,63.89,65.33,66.80
53.58,54.79,56.02,57.28,58.57
191.15,195.45,199.85,204.35,208.95
133.35,136.35,139.42,142.56,145.77
109.01,111.46,113.97,116.53,119.15
95.78,97.94,100.14,102.39,104.69
109.01,111.46,1113.97,116.53,119.15
95.78,97.94,100.14,102.39,104.69
73.98,75.64,77.34,79.08,80.86
223.07,228.09,233.22,238.47,243.84
203.17,207.74,212.41,217.19,222.08
157.87,161.42,165.05,168.76,172.56
95.31,97.45,99.64,101.88,104.17
79.84,81.64,83.48,85.36,87.28
68.52,70.06,71.64,73.25,74.90
61.11,62.48,63.89,65.33,66.80
83.50,85.38,87.30,89.26,91.27
71.90,73.52,75.17,76.86,78.59
306.52,313.42,320.47,327.68,335.05
253.07,258.76,264.58,270.53,276.62
223.07,228.09,233.22,238.47,243.84
133.35,136.35,139.42,142.56,145.77
